zip,lat,long,county,state,n
92688,33.61,-117.61,Orange,CA,1
,,,,,
2360,41.95,-70.66,Plymouth,MA,1
,,,,,
30135,33.74,-84.74,Douglas,GA,1
,,,,,
44118,41.47,-81.67,Cuyahoga,OH,1
,,,,,
55345,44.93,-93.46,Hennepin,MN,1
,,,,,
59105,45.87,-108.47,Yellowstone,MT,1
,,,,,
60073,42.34,-88.11,Lake,IL,1
,,,,,
94604,37.8,-122.26,Alameda,CA,1
,,,,,
95207,38,-121.32,San Joaquin,CA,4
,,,,,
20878,39.14,-77.21,Montgomery,MD,1
,,,,,
90275,33.75,-118.31,Los Angeles,CA,1
,,,,,
91763,34.07,-117.7,San Bernardino,CA,1
,,,,,
93101,34.41,-119.7,Santa Barbara,CA,1
,,,,,
5301,42.86,-72.57,Windham,VT,1
,,,,,
29502,34.18,-79.78,Florence,SC,1
,,,,,
30066,33.95,-84.54,Cobb,GA,1
,,,,,
75758,32.3,-95.47,Henderson,TX,1
,,,,,
21620,39.21,-76.07,Kent,MD,1
,,,,,
80205,39.76,-104.87,Denver,CO,1
,,,,,
85131,32.65,-111.59,Pinal,AZ,5
,,,,,
95667,38.73,-120.8,El Dorado,CA,1
,,,,,
10011,40.71,-73.99,New York,NY,1
,,,,,
7750,40.33,-73.98,Monmouth,NJ,1
,,,,,
2169,42.26,-71,Norfolk,MA,2
,,,,,
19119,39.95,-75.16,Philadelphia,PA,1
,,,,,
30307,33.76,-84.33,Dekalb,GA,2
,,,,,
55447,44.96,-93.26,Hennepin,MN,1
,,,,,
7726,40.29,-74.36,Monmouth,NJ,1
,,,,,
20708,39.09,-76.85,Prince George's,MD,1
,,,,,
65613,37.6,-93.41,Polk,MO,1
,,,,,
76708,31.56,-97.18,McLennan,TX,1
,,,,,
84403,41.18,-111.91,Weber,UT,1
,,,,,
85213,33.44,-111.76,Maricopa,AZ,1
,,,,,
93727,36.75,-119.67,Fresno,CA,2
,,,,,
94066,37.62,-122.43,San Mateo,CA,14
,,,,,
95125,37.29,-121.88,Santa Clara,CA,37
,,,,,
10566,41.28,-73.92,Westchester,NY,1
,,,,,
20904,39.01,-77.02,Montgomery,MD,1
,,,,,
41164,38.3,-83.16,Carter,KY,1
,,,,,
80215,39.76,-104.87,Jefferson,CO,1
,,,,,
93926,36.54,-121.39,Monterey,CA,1
,,,,,
95136,37.27,-121.84,Santa Clara,CA,18
,,,,,
95409,38.45,-122.59,Sonoma,CA,22
,,,,,
85381,33.61,-112.23,Maricopa,AZ,1
,,,,,
2155,42.42,-71.1,Middlesex,MA,2
,,,,,
85749,32.28,-110.73,Pima,AZ,2
,,,,,
95112,37.34,-121.88,Santa Clara,CA,11
,,,,,
95482,39.12,-123.28,Mendocino,CA,5
,,,,,
8512,40.31,-74.51,Middlesex,NJ,1
,,,,,
66604,39.03,-95.69,Shawnee,KS,2
,,,,,
92107,32.73,-117.24,San Diego,CA,1
,,,,,
95037,37.17,-121.65,Santa Clara,CA,13
,,,,,
1776,42.36,-71.4,Middlesex,MA,1
,,,,,
55901,44.01,-92.47,Olmsted,MN,1
,,,,,
62234,38.67,-89.99,Madison,IL,1
,,,,,
62704,39.78,-89.64,Sangamon,IL,1
,,,,,
85252,33.48,-111.92,Maricopa,AZ,1
,,,,,
96825,21.3,-157.85,Honolulu,HI,1
,,,,,
75771,32.5,-95.4,Smith,TX,1
,,,,,
85379,33.6,-112.37,Maricopa,AZ,1
,,,,,
92075,32.99,-117.25,San Diego,CA,2
,,,,,
5757,43.48,-73.12,Rutland,VT,1
,,,,,
19539,40.49,-75.68,Berks,PA,1
,,,,,
17754,41.24,-76.92,Lycoming,PA,2
,,,,,
84319,41.6,-111.72,Cache,UT,1
,,,,,
85742,32.43,-111.03,Pima,AZ,1
,,,,,
95603,38.92,-121.07,Placer,CA,1
,,,,,
96706,21.31,-158.01,Honolulu,HI,3
,,,,,
2131,42.28,-71.13,Suffolk,MA,1
,,,,,
60610,41.83,-87.68,Cook,IL,1
,,,,,
64154,39.09,-94.58,Platte,MO,1
,,,,,
85048,33.28,-112.03,Maricopa,AZ,1
,,,,,
95422,38.96,-122.64,Lake,CA,1
,,,,,
12866,43.06,-73.77,Saratoga,NY,1
,,,,,
44044,41.28,-82.03,Lorain,OH,1
,,,,,
83632,44.54,-116.41,Adams,ID,1
,,,,,
94038,37.51,-122.5,San Mateo,CA,10
,,,,,
95127,37.37,-121.75,Santa Clara,CA,8
,,,,,
95462,38.45,-123.01,Sonoma,CA,1
,,,,,
97487,43.97,-123.42,Lane,OR,1
,,,,,
48105,42.27,-83.73,Washtenaw,MI,3
,,,,,
95960,39.42,-120.99,Nevada,CA,1
,,,,,
