zip,lat,long,county,state,n
,,,,,
11040,40.729351,-73.682824,nassau,NY,1
,,,,,
11050,40.754757,-73.601772,nassau,NY,3
,,,,,
11109,40.651378,-73.870779,queens,NY,1
,,,,,
11201,40.694481,-73.989319,kings,NY,2
,,,,,
11209,40.622459,-74.028749,kings,NY,1
,,,,,
11215,40.664322,-73.984132,kings,NY,2
,,,,,
11218,40.64434,-73.978411,kings,NY,1
,,,,,
11222,40.728388,-73.945754,kings,NY,1
,,,,,
11225,40.661096,-73.952295,kings,NY,1
,,,,,
11228,40.624552,-73.989853,kings,NY,1
,,,,,
11235,40.584455,-73.948402,kings,NY,1
,,,,,
11236,40.65701,-73.91581,kings,NY,1
,,,,,
11238,40.680593,-73.963928,kings,NY,1
,,,,,
11545,40.754757,-73.601772,nassau,NY,1
,,,,,
11558,40.606953,-73.654724,nassau,NY,1
,,,,,
11565,40.674652,-73.673324,nassau,NY,1
,,,,,
11721,40.893197,-73.370462,suffolk,NY,1
,,,,,
11735,40.754757,-73.601772,nassau,NY,2
,,,,,
11747,40.787248,-73.405573,suffolk,NY,1
,,,,,
11946,40.922326,-72.637078,suffolk,NY,1
,,,,,
12047,42.647039,-73.739349,albany,NY,1
,,,,,
12065,42.850576,-73.792524,saratoga,NY,1
,,,,,
12180,42.673701,-73.608792,rensselaer,NY,1
,,,,,
12203,42.700345,-73.857496,albany,NY,1
,,,,,
12345,42.833261,-74.058015,schenectady,NY,1
,,,,,
12518,41.348593,-74.135167,orange,NY,1
,,,,,
12601,41.695839,-73.896164,dutchess,NY,1
,,,,,
12834,43.212754,-73.434261,washington,NY,1
,,,,,
12866,43.101145,-73.850623,saratoga,NY,1
,,,,,
12946,44.130663,-73.734652,essex,NY,1
,,,,,
13021,42.894381,-76.565683,cayuga,NY,3
,,,,,
13026,42.755979,-76.646007,cayuga,NY,1
,,,,,
13032,43.005767,-75.798607,madison,NY,1
,,,,,
13108,42.948057,-76.329799,onondaga,NY,1
,,,,,
13111,43.258337,-76.6292,cayuga,NY,1
,,,,,
13203,43.062016,-76.134145,onondaga,NY,1
,,,,,
13204,43.055766,-76.177597,onondaga,NY,1
,,,,,
13207,43.012216,-76.170596,onondaga,NY,1
,,,,,
13403,43.172019,-75.27371,oneida,NY,1
,,,,,
13440,43.20886,-75.383365,oneida,NY,1
,,,,,
13480,42.926167,-75.360922,oneida,NY,1
,,,,,
13622,44.091892,-76.108527,jefferson,NY,1
,,,,,
13775,42.32887,-75.136628,delaware,NY,1
,,,,,
13849,42.382962,-75.292321,otsego,NY,1
,,,,,
14031,42.992968,-78.601269,erie,NY,1
,,,,,
14067,43.208166,-78.56623,niagara,NY,1
,,,,,
14120,43.179206,-78.808908,niagara,NY,1
,,,,,
14212,42.894558,-78.818805,erie,NY,1
,,,,,
14218,42.814558,-78.807754,erie,NY,1
,,,,,
14221,42.968507,-78.749153,erie,NY,1
,,,,,
14222,42.918207,-78.875007,erie,NY,1
,,,,,
14223,42.974607,-78.850507,erie,NY,1
,,,,,
14226,42.974389,-78.794905,erie,NY,1
,,,,,
14261,42.768413,-78.887094,erie,NY,1
,,,,,
14445,43.113563,-77.482538,monroe,NY,1
,,,,,
14456,42.857414,-77.034883,ontario,NY,2
,,,,,
14469,42.869556,-77.465843,ontario,NY,1
,,,,,
14472,42.982513,-77.606771,monroe,NY,1
,,,,,
14506,43.001323,-77.504268,monroe,NY,1
,,,,,
14534,43.060229,-77.520692,monroe,NY,2
,,,,,
14543,42.996613,-77.666524,monroe,NY,1
,,,,,
14550,42.674209,-78.084485,wyoming,NY,1
,,,,,
14559,43.185709,-77.830577,monroe,NY,1
,,,,,
14569,42.740223,-78.164804,wyoming,NY,1
,,,,,
14607,43.152013,-77.584888,monroe,NY,1
,,,,,
14608,43.154611,-77.624001,monroe,NY,1
,,,,,
14610,43.140163,-77.557871,monroe,NY,1
,,,,,
14612,43.257111,-77.67824,monroe,NY,3
,,,,,
14618,43.112163,-77.561771,monroe,NY,1
,,,,,
14626,43.190312,-77.720018,monroe,NY,1
,,,,,
14711,42.320366,-78.12964,allegany,NY,1
,,,,,
14733,42.126604,-79.182837,chautauqua,NY,1
,,,,,
14830,42.120541,-77.048462,steuben,NY,1
,,,,,
14886,42.4803,-76.635158,tompkins,NY,1
,,,,,
15005,40.618418,-80.204103,beaver,PA,1
,,,,,
15037,40.271965,-79.896642,allegheny,PA,1
,,,,,
15061,40.656366,-80.327814,beaver,PA,1
,,,,,
15085,40.382668,-79.594643,westmoreland,PA,1
,,,,,
15090,40.434436,-80.024817,allegheny,PA,1
,,,,,
15108,40.469268,-80.140228,allegheny,PA,1
,,,,,
15116,40.357719,-79.979974,allegheny,PA,1
,,,,,
15120,40.392619,-79.905171,allegheny,PA,1
,,,,,
15122,40.360575,-79.908621,allegheny,PA,1
,,,,,
15143,40.451367,-80.20828,allegheny,PA,1
,,,,,
15202,40.328598,-79.949182,allegheny,PA,1
,,,,,
15209,40.392719,-80.042375,allegheny,PA,1
,,,,,
15212,40.428169,-80.074977,allegheny,PA,1
,,,,,
15213,40.423069,-79.980624,allegheny,PA,1
,,,,,
15217,40.385219,-80.054876,allegheny,PA,1
,,,,,
15218,40.434436,-80.024817,allegheny,PA,2
,,,,,
15219,40.375351,-80.017075,allegheny,PA,1
,,,,,
15221,40.414611,-80.043342,allegheny,PA,2
,,,,,
15223,40.457418,-80.044926,allegheny,PA,1
,,,,,
15227,40.380519,-79.966723,allegheny,PA,1
,,,,,
15233,40.434436,-80.024817,allegheny,PA,1
,,,,,
15235,40.398608,-80.000854,allegheny,PA,1
,,,,,
15239,40.434436,-80.024817,allegheny,PA,1
,,,,,
15401,39.944884,-79.770063,fayette,PA,1
,,,,,
15613,40.436827,-79.617178,westmoreland,PA,1
,,,,,
15642,40.36502,-79.58406,westmoreland,PA,1
,,,,,
15904,40.319279,-78.828084,cambria,PA,1
,,,,,
16046,40.866316,-79.936986,butler,PA,2
,,,,,
16066,40.709713,-80.104597,butler,PA,1
,,,,,
17013,40.168495,-77.228817,cumberland,PA,1
,,,,,
17044,40.564909,-77.630152,mifflin,PA,1
,,,,,
17055,40.180953,-77.177086,cumberland,PA,1
,,,,,
17070,40.263875,-76.898096,cumberland,PA,1
,,,,,
17257,40.070789,-77.45983,cumberland,PA,1
,,,,,
17331,39.935502,-76.672739,york,PA,1
,,,,,
17345,39.95406,-76.835812,york,PA,1
,,,,,
17353,39.882976,-77.393593,adams,PA,1
,,,,,
17543,40.134761,-76.455212,lancaster,PA,1
,,,,,
17560,39.912288,-76.237428,lancaster,PA,1
,,,,,
17601,40.076553,-76.31068,lancaster,PA,2
,,,,,
17603,40.009147,-76.367132,lancaster,PA,2
,,,,,
17701,41.266716,-76.958314,lycoming,PA,1
,,,,,
17754,41.307308,-76.881055,lycoming,PA,2
,,,,,
18018,40.625297,-75.379174,northampton,PA,1
,,,,,
18020,40.669251,-75.334887,northampton,PA,1
,,,,,
18034,40.543998,-75.41242,lehigh,PA,1
,,,,,
18049,40.520705,-75.496131,lehigh,PA,1
,,,,,
18073,40.374347,-75.482175,montgomery,PA,1
,,,,,
18104,40.621048,-75.545306,lehigh,PA,1
,,,,,
18326,41.152364,-75.276395,monroe,PA,1
,,,,,
18411,41.463694,-75.681992,lackawanna,PA,1
,,,,,
18471,41.523812,-75.690608,lackawanna,PA,1
,,,,,
18612,41.271121,-75.999621,luzerne,PA,1
,,,,,
18630,41.27708,-75.960156,wyoming,PA,1
,,,,,
18708,41.24083,-75.947216,luzerne,PA,1
,,,,,
18901,40.334863,-75.118737,bucks,PA,1
,,,,,
18944,40.390196,-75.233253,bucks,PA,1
,,,,,
18951,40.452525,-75.221391,bucks,PA,2
,,,,,
18956,40.262783,-75.01568,bucks,PA,1
,,,,,
18974,40.208476,-75.040613,bucks,PA,1
,,,,,
19001,40.123805,-75.114767,montgomery,PA,1
,,,,,
19002,40.180876,-75.215621,montgomery,PA,1
,,,,,
19003,39.998811,-75.30793,delaware,PA,3
,,,,,
19008,39.972965,-75.365635,delaware,PA,1
,,,,,
19010,39.955561,-75.344833,delaware,PA,2
,,,,,
19014,39.866766,-75.398537,delaware,PA,1
,,,,,
19026,39.937562,-75.307731,delaware,PA,1
,,,,,
19044,40.191808,-75.150577,montgomery,PA,1
,,,,,
19050,39.914562,-75.29458,delaware,PA,1
,,,,,
19063,39.918804,-75.399118,delaware,PA,1
,,,,,
19072,40.020911,-75.259975,montgomery,PA,1
,,,,,
19078,39.878212,-75.323082,delaware,PA,1
,,,,,
19085,40.027909,-75.369458,delaware,PA,1
,,,,,
19087,39.98596,-75.370934,delaware,PA,1
,,,,,
19096,40.051411,-75.164822,montgomery,PA,1
,,,,,
19102,39.952562,-75.166472,philadelphia,PA,1
,,,,,
19104,39.960912,-75.19668,philadelphia,PA,1
,,,,,
19116,40.104709,-75.006771,philadelphia,PA,1
,,,,,
